Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
29360000,2.0244167,4341.0,1224.6901754363062,0.014471549,-0.5,-0.5,1.0
29370000,2.0109985,5228.5,1224.1834288127093,0.002528422,0.0,0.0,1.0
29380000,1.98615,1268.0,1224.4288100701217,0.0013874812,0.0,0.0,1.0
29390000,2.0065598,5999.0,1224.4178796167034,-0.015088362,0.0,0.0,1.0
29400000,1.9832523,5999.0,1224.5734887378376,0.004691689,0.3333333333333333,0.3333333333333333,1.0
29410000,1.9943202,5189.0,1224.3997886551456,-0.006989242,-1.0,-1.0,1.0
29420000,2.0029483,None,None,0.0011777106,None,None,1.0
29430000,2.0160859,5999.0,1224.225293635066,-0.0011218725,0.0,0.0,1.0
29440000,1.9985698,5999.0,1224.385233104086,-0.004684766,0.0,0.0,1.0
29450000,2.0078447,5999.0,1224.3719021790212,-0.005280564,0.0,0.0,1.0
29460000,2.0027452,5999.0,1224.3621362646115,-0.003548577,0.0,0.0,1.0
29470000,2.0125413,None,None,-0.0048468215,None,None,1.0
29480000,1.9891434,1233.3333333333333,1224.6866291958352,0.012605629,0.5,0.5,1.0
29490000,2.006647,2181.5,1224.8438174060288,0.0053533404,0.0,0.0,1.0
29500000,2.0047352,2859.3333333333335,1224.6623831138934,0.007503901,-0.3333333333333333,-0.3333333333333333,1.0
29510000,2.00653,2291.0,1224.566126123779,1.4091292e-05,0.5,0.5,1.0
29520000,2.041327,None,None,0.0018385074,None,None,1.0
29530000,2.0320623,5999.0,1224.8057895541274,0.001747871,0.0,0.0,1.0
29540000,2.024833,5999.0,1224.8007615075687,0.003936248,0.0,0.0,1.0
29550000,2.0226417,5748.25,1224.7935507989482,0.0029719654,0.0,0.0,1.0
29560000,2.0284445,5999.0,1224.7847127745194,0.0009117812,0.0,0.0,1.0
29570000,2.0194454,4205.0,1225.2808807563333,0.013809712,1.0,1.0,1.0
29580000,2.023557,5999.0,1225.2796337920058,0.019421984,0.0,0.0,1.0
29590000,2.0156174,5999.0,1225.2796337920058,0.034548793,0.0,0.0,1.0
29600000,2.004519,4767.25,1225.6461568310092,0.043227434,0.6666666666666666,0.6666666666666666,1.0
29610000,2.0143242,3612.5,1226.2591994875725,0.0029854802,0.5,0.5,1.0
29620000,2.008478,5999.0,1226.2448963744573,-0.0047930526,0.0,0.0,1.0
29630000,2.0246873,4830.0,1225.7374358541058,-0.0018797346,-0.3333333333333333,-0.3333333333333333,1.0
29640000,2.0420258,None,None,0.007806465,None,None,1.0
29650000,2.0306778,5999.0,1225.726850354618,0.006689197,0.0,0.0,1.0
29660000,2.0261948,5999.0,1225.720577885625,0.005492282,0.0,0.0,1.0
29670000,2.0170233,5999.0,1225.7147859742738,0.004423699,None,None,1.0
29680000,2.022658,470.0,1225.713488493718,0.016846783,-0.2,-0.2,1.0
29690000,2.0275273,2216.5,1225.9531799808408,0.0052499725,0.0,0.0,1.0
29700000,2.0324585,3183.0,1226.6911167685155,0.004765503,0.6666666666666666,0.6666666666666666,1.0
29710000,2.0032947,3183.5,1226.6771287203842,0.0013307802,0.0,0.0,1.0
29720000,2.0201595,5996.0,1226.6689302334732,0.0023123547,0.0,0.0,1.0
29730000,2.0204253,5337.0,1226.3236188938115,-0.01934278,-0.3333333333333333,-0.3333333333333333,1.0
29740000,2.0266445,4293.0,1226.148373250548,0.0038219218,0.0,0.0,1.0
29750000,2.0168128,4527.0,1225.6403277797597,-0.005826387,-0.3333333333333333,-0.3333333333333333,1.0
29760000,1.9985279,5999.0,1225.630487477763,-0.048724912,0.0,0.0,1.0
29770000,2.0261333,2910.0,1224.7935542276105,-0.01591513,-1.0,-1.0,1.0
29780000,2.03085,5999.0,1224.6269609044712,-0.016469046,0.0,0.0,1.0
29790000,2.026424,None,None,-0.008460261,0.0,0.0,1.0
29800000,1.9973067,1476.5,1223.8696630997747,-0.018243415,-1.0,-1.0,1.0
29810000,1.9914498,4826.5,1223.4469108159253,-0.015981488,-0.16666666666666666,-0.16666666666666666,1.0
29820000,1.9917899,3808.0,1223.1120098397457,0.009212826,0.5,0.5,1.0
29830000,1.9768183,2490.0,1223.6090943254333,-0.031270206,1.0,1.0,1.0
29840000,1.9893416,4453.8,1223.5990625960937,-0.013979037,-0.2,-0.2,1.0
29850000,2.0157857,None,None,-0.015627418,None,None,1.0
29860000,1.9967211,5999.0,1223.096757416674,-0.0082253,0.0,0.0,1.0
29870000,1.9476634,5590.0,1222.5972271112405,-0.007087459,-0.5,-0.5,1.0
29880000,1.9922376,1234.75,1223.2280400518464,0.034911428,0.6666666666666666,0.6666666666666666,1.0
29890000,2.0217152,1058.0,1223.9420877948357,-0.0130478535,0.0,0.0,1.0
29900000,2.0246499,2721.0,1223.8570145667704,-0.0006285552,0.0,0.0,1.0
29910000,2.0518486,4368.0,1223.6082188119349,-0.0016336692,0.0,0.0,1.0
29920000,2.0463564,None,None,-0.0012260398,None,None,1.0
29930000,2.0382404,5349.5,1223.6121635026134,-0.001087541,0.0,0.0,1.0
29940000,2.0047166,5999.0,1223.614184431372,0.005398041,0.0,0.0,1.0
29950000,1.9944216,5999.0,1223.613950206338,0.010282537,0.0,0.0,1.0
29960000,1.991516,5999.0,1223.6116486212845,0.011872796,0.0,0.0,1.0
29970000,1.9853195,None,None,0.012173164,None,None,1.0
29980000,1.9818709,5999.0,1223.1109306730073,-0.00047726632,-1.0,-1.0,1.0
29990000,2.0095465,5999.0,1223.2819444171434,0.010360712,0.0,0.0,1.0
30000000,2.0227818,5750.0,1223.6162461069107,-0.00045939683,0.5,0.5,1.0
30010000,2.0105815,5999.0,1223.616848773759,-0.0020803474,0.0,0.0,1.0
30020000,2.0144439,5999.0,1223.617067943237,0.012922982,0.0,0.0,1.0
30030000,2.0075364,None,None,0.02435395,None,None,1.0
30040000,2.0208468,5999.0,1223.6082536419567,0.04066968,0.0,0.0,1.0
30050000,1.9890732,None,None,0.02190527,None,None,1.0
30060000,2.0241752,4952.0,1224.107419879457,0.016940456,0.6666666666666666,0.6666666666666666,1.0
30070000,2.0000157,5999.0,1224.1084848574515,-0.0052221245,0.0,0.0,1.0
30080000,1.9895318,687.0,1223.6114930366912,0.013956174,-1.0,-1.0,1.0
30090000,2.005797,1527.5,1224.4859945404457,0.01285518,0.4,0.4,1.0
30100000,1.9815176,2126.0,1224.6110903693188,0.03169833,1.0,1.0,1.0
30110000,1.9940709,2978.0,1224.1074534507027,-0.008753352,-0.5,-0.5,1.0
30120000,1.9928529,3188.75,1223.2332094687695,-0.003100421,-0.6,-0.6,1.0
30130000,1.9950091,3854.0,1222.6111797584724,-0.00692619,-0.5,-0.5,1.0
30140000,1.9807678,4430.5,1222.365514707355,-0.0072586033,0.0,0.0,1.0
30150000,1.9593188,5999.0,1222.6169620084563,0.0042303777,0.0,0.0,1.0
30160000,1.9964993,3604.0,1222.9519353928406,-0.011560573,0.3333333333333333,0.3333333333333333,1.0
30170000,1.9942645,5999.0,1223.1227431565835,-0.0069024577,0.0,0.0,1.0
30180000,1.9903244,5999.0,1223.1216784116973,-0.007892028,0.0,0.0,1.0
30190000,1.9833901,4470.5,1223.3748989228568,0.0012928238,0.0,0.0,1.0
30200000,1.9963201,163.0,1223.1314863726332,0.04956888,0.0,0.0,1.0
30210000,1.9760473,5675.5,1223.630024511202,0.01184142,1.0,1.0,1.0
30220000,2.007234,5999.0,1223.1297374946816,-0.010315554,-0.25,-0.25,1.0
30230000,2.0235198,None,None,0.007938041,None,None,1.0
