Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
450000,5.4756,1765.6,1203.1733387325232,0.03398712,-0.2,-0.2,1.0
460000,5.4780216,1691.3333333333333,1203.0076790965868,0.031654336,0.16666666666666666,0.16666666666666666,1.0
470000,5.4723134,1791.1666666666667,1202.8653334910016,0.031747516,-0.16666666666666666,-0.16666666666666666,1.0
480000,5.4760065,1788.8333333333333,1203.0385945758655,0.032097876,-0.2,-0.2,1.0
490000,5.4867654,2222.75,1203.3919998458082,0.031635668,0.2,0.2,1.0
500000,5.480181,1643.5714285714287,1204.0934998076968,0.029751735,0.3333333333333333,0.3333333333333333,1.0
510000,5.47061,1372.142857142857,1205.0910495340438,0.026844412,0.14285714285714285,0.14285714285714285,1.0
520000,5.4757013,1634.6666666666667,1204.5199531574021,0.021000825,-0.16666666666666666,-0.16666666666666666,1.0
530000,5.4689393,1098.625,1204.0185985042817,0.02853964,-0.2222222222222222,-0.2222222222222222,1.0
540000,5.4843516,2137.8,1203.5256186411239,0.031944837,-0.4,-0.4,1.0
550000,5.481751,2169.25,1202.4057827514175,0.028740294,-0.5,-0.5,1.0
560000,5.476343,1334.0,1202.2172496389164,0.02741215,0.125,0.125,1.0
570000,5.475553,705.0714285714286,1201.825442119038,0.0075619924,-0.14285714285714285,-0.14285714285714285,1.0
580000,5.46424,895.8181818181819,1200.357132596359,0.011239098,-0.18181818181818182,-0.18181818181818182,1.0
590000,5.4729257,795.6153846153846,1200.2791496262864,0.007342173,0.0,0.0,1.0
600000,5.468114,835.5454545454545,1198.540928715615,0.010478792,-0.25,-0.25,1.0
610000,5.471307,733.4,1197.5466387217343,0.020611018,-0.1,-0.1,1.0
620000,5.4815884,1512.4285714285713,1197.1662885382407,0.011928804,-0.42857142857142855,-0.42857142857142855,1.0
630000,5.4624543,1471.375,1196.5665730024853,0.029169394,0.2857142857142857,0.2857142857142857,1.0
640000,5.4657803,1215.5,1196.983374288977,0.028163746,0.0,0.0,1.0
650000,5.4601684,941.1111111111111,1197.7613550171072,0.017428817,0.3,0.3,1.0
660000,5.467719,1494.0,1198.2235927920212,0.026779551,0.0,0.0,1.0
670000,5.469217,1525.3333333333333,1199.3592345717054,0.021514801,0.5714285714285714,0.5714285714285714,1.0
680000,5.4684825,1274.125,1198.762460527099,0.014797658,-0.375,-0.375,1.0
690000,5.467835,1263.0,1199.336328043275,0.009843354,0.14285714285714285,0.14285714285714285,1.0
700000,5.460154,914.3636363636364,1198.8076071497799,0.017001184,-0.18181818181818182,-0.18181818181818182,1.0
710000,5.472703,1098.2222222222222,1198.5880914168,0.011704354,0.1111111111111111,0.1111111111111111,1.0
720000,5.4678116,1426.6666666666667,1198.5509743312866,0.01131921,0.14285714285714285,0.14285714285714285,1.0
730000,5.4740167,1423.142857142857,1199.3855331877887,0.0081275515,-0.42857142857142855,-0.42857142857142855,1.0
740000,5.4702897,2122.6,1199.119992175407,0.014712538,0.4,0.4,1.0
750000,5.454076,1868.0,1198.9994884184705,0.009961435,-0.2,-0.2,1.0
760000,5.4516854,877.1,1199.3261962063903,0.011576769,0.09090909090909091,0.09090909090909091,1.0
770000,5.4682775,957.7,1200.4557077745355,0.007224493,0.0,0.0,1.0
780000,5.450768,1165.75,1199.7118106361008,0.006002707,0.0,0.0,1.0
790000,5.4495416,1687.5714285714287,1200.3843476360587,0.013789046,0.0,0.0,1.0
800000,5.452336,1748.0,1200.4883586525161,0.020007608,0.2,0.2,1.0
810000,5.4551086,1390.125,1200.2349614479958,0.008192239,-0.375,-0.375,1.0
820000,5.4744678,1094.6666666666667,1199.0499615010865,0.006474151,0.0,0.0,1.0
